Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain
GERD,stomach_pain,acidity,vomiting,cough,chest_pain
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain
GERD,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite
Chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain
Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level
Diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
Diabetes,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
Diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision
Diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision
Diabetes,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history
Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum
Bronchial Asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum
Bronchial Asthma,fatigue,cough,high_fever,family_history,mucoid_sputum
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger
Migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
Migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck
Migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever
Jaundice,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
Jaundice,itching,fatigue,weight_loss,high_fever,yellowish_skin
Jaundice,itching,vomiting,weight_loss,high_fever,yellowish_skin
Jaundice,itching,vomiting,fatigue,high_fever,yellowish_skin
Jaundice,itching,vomiting,fatigue,weight_loss,yellowish_skin
